destination,Western Europe,Eastern Europe,Southern Europe,Northern Europe,Scandinavia,Nordic countries,Mediterranean coast,The Balkans,Central Europe,Baltic States,French Riviera,Amalfi Coast,Alpine,Iberian Peninsula,Benelux,British Isles,Romantic,Historical,Luxury,Budget,Children,Scenic,Coastal,Mountainous,Urban,Countryside,Adventure,Cultural,Popular,Remote,Sunny,Snow,Relax,Traditional,Modern,Green,Skiing,Hiking,Wine,Cycling,Museum,Food,Beach,Photography,Shopping,Sailing,Spa,History,Snowboard,Club,Festival,Castle,Cruise,Camp,Art,Church,Market,Palace,Botanical Garden,Lake,Cathedral,Opera House,Ancient,Bridge,Old Town,Harbor,Monastery,Island,Waterfall,Canyon,Fjord,
Hamburg,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,7,0,0,4,2,0,0,0,0,1,2,5,0,0,0,2,11,1,0,1,0,3,0,5,0,23,10,2,0,1,7,8,1,0,2,0,0,0,0,1,2,0,0,2,0,0,0,112
Dresden,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,10,1,0,10,0,0,0,0,0,3,4,2,0,0,0,0,15,2,0,0,0,0,0,10,0,5,2,7,0,2,15,10,5,7,1,0,5,2,0,7,1,0,0,0,0,0,0,133
Heidelberg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,2,2,0,0,1,0,0,2,4,0,0,1,0,0,7,2,0,0,0,0,7,0,0,0,1,0,0,9,0,2,5,30,0,5,3,18,6,6,0,0,0,0,0,7,16,0,5,0,0,0,0,150
Rothenburg ob der Tauber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,1,2,0,0,1,0,0,1,0,0,0,1,0,9,0,0,0,0,0,1,4,0,0,0,10,0,0,0,10,2,0,0,0,0,0,0,1,3,0,3,2,0,0,0,57
Neuschwanstein Castle,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,44,0,0,5,1,0,60,0,1,0,0,0,0,0,0,0,0,1,0,0,124
Black Forest,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,4,6,1,0,1,0,4,0,0,2,5,3,0,11,0,0,0,0,0,2,7,0,3,1,0,0,0,5,0,2,0,0,3,0,0,1,0,0,0,1,1,0,0,0,69
Monaco-Ville,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,3,3,1,0,0,0,0,8,1,1,0,0,0,0,2,0,13,4,1,0,1,4,19,2,4,0,1,2,2,1,1,0,0,0,0,0,0,0,82
Monte Carlo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,1,1,0,0,0,0,1,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,18
Casino Square,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,1,1,0,0,0,0,1,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,18
Oceanographic Museum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
